Vc	C
-2	9.19E+01
-1.9	9.15E+01
-1.8	9.11E+01
-1.7	9.06E+01
-1.6	9.00E+01
-1.5	8.94E+01
-1.4	8.87E+01
-1.3	8.79E+01
-1.2	8.70E+01
-1.1	8.61E+01
-1	8.50E+01
-9.00E-01	8.38E+01
-8.00E-01	8.25E+01
-7.00E-01	8.11E+01
-6.00E-01	7.96E+01
-5.00E-01	7.79E+01
-4.00E-01	7.61E+01
-3.00E-01	7.41E+01
-2.00E-01	7.18E+01
-1.00E-01	6.92E+01
6.38E-16	6.59E+01
1.00E-01	6.12E+01
2.00E-01	5.44E+01
3.00E-01	4.60E+01
4.00E-01	3.86E+01
5.00E-01	3.29E+01
6.00E-01	2.88E+01
7.00E-01	2.59E+01
8.00E-01	2.38E+01
9.00E-01	2.22E+01
1	2.11E+01
1.1	2.02E+01
1.2	1.96E+01
1.3	1.94E+01
1.4	2.04E+01
1.5	2.81E+01
1.6	4.63E+01
1.7	6.30E+01
1.8	7.19E+01
1.9	7.59E+01
2	7.78E+01
